DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/06/2018,0:00,BRONX,10459,40.832726,-73.89655,"(40.832726, -73.89655)",,,1423      PROSPECT AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3876199,SPORT UTILITY / STATION WAGON,,,,
04/06/2018,0:00,MANHATTAN,10030,40.818832,-73.942276,"(40.818832, -73.942276)",,,222       WEST 140 STREET               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3876938,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/06/2018,0:00,QUEENS,11368,40.756523,-73.85868,"(40.756523, -73.85868)",,,110-04    34 AVENUE                     ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3875986,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
04/06/2018,0:00,QUEENS,11368,40.73963,-73.856224,"(40.73963, -73.856224)",,,57-25     PENROD STREET                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3876662,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/06/2018,0:00,,,40.763496,-73.80734,"(40.763496, -73.80734)",158 STREET                      ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3876144,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/06/2018,0:00,,,,,,CITY ISLAND ROAD                ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3877110,PASSENGER VEHICLE,,,,
04/06/2018,0:00,,,40.728516,-73.88428,"(40.728516, -73.88428)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3876151,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/06/2018,0:05,MANHATTAN,10002,40.72224,-73.9863,"(40.72224, -73.9863)",EAST HOUSTON STREET             ,AVENUE A,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3877276,PASSENGER VEHICLE,TAXI,,,
04/06/2018,0:05,STATEN ISLAND,10301,40.64445,-74.07683,"(40.64445, -74.07683)",WALL STREET                     ,RICHMOND TERRACE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3875859,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
07/01/2012,9:40,BRONX,10462,40.8398819,-73.8576576,"(40.8398819, -73.8576576)",METROPOLITAN AVENUE             ,MAPLE DRIVE                     ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,80827,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/01/2012,9:40,MANHATTAN,10002,40.7140687,-73.9975038,"(40.7140687, -73.9975038)",DIVISION STREET                 ,CATHERINE STREET                ,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,,,,5294,PASSENGER VEHICLE,LIVERY VEHICLE,,,
07/01/2012,9:40,QUEENS,11354,40.7644548,-73.831773,"(40.7644548, -73.831773)",35 AVENUE                       ,FARRINGTON STREET               ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,245559,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2012,9:40,QUEENS,11369,40.7674704,-73.8818593,"(40.7674704, -73.8818593)",23 AVENUE                       ,88 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,279641,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
07/01/2012,9:40,QUEENS,11370,40.7587426,-73.8906895,"(40.7587426, -73.8906895)",31 AVENUE                       ,77 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,279639,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
07/01/2012,9:45,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2896726,PASSENGER VEHICLE,UNKNOWN,,,
07/01/2012,9:50,MANHATTAN,10019,40.7667789,-73.9967618,"(40.7667789, -73.9967618)",WEST SIDE HIGHWAY               ,WEST 50 STREET                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,37635,VAN,SPORT UTILITY / STATION WAGON,,
07/01/2012,9:50,QUEENS,11001,40.7362448,-73.7029656,"(40.7362448, -73.7029656)",265 STREET                      ,85 AVENUE                       ,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,219395,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/01/2012,9:57,MANHATTAN,10065,40.7652424,-73.9578679,"(40.7652424, -73.9578679)",1 AVENUE                        ,EAST 68 STREET                  ,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,44907,PASSENGER VEHICLE,TAXI,,,
07/01/2012,9:59,BRONX,10452,40.835397,-73.920305,"(40.835397, -73.920305)",EAST 167 STREET                 ,GERARD AVENUE                   ,,0,0,0,0,0,0,0,0,Glare,Unspecified,,,,85154,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
